人	人入
亼月刂見	觎覦
亼龴鳥	鸰鴒
行鳥	鸻鵆
八人口鳥	鹆鵒
食巳艹廾	馔饌
食木口	𫗧餗
食廿口丰	馑饉
食亠日一	𫗴饘
食日四又	馒饅
食亠八乂	饺餃
食土厶皿	馌饁
八厶习鳥	鹟鶲
金一廾刂	铏鉶
金一止	钲鉦
金下乚	钙鈣
金一八丁	镉鎘
金丰丰彐	𬭬鏏
金丰刀大	锲鍥
斤頁	颀頎
𠂆虎鳥	䴘鷉
金十⺍丶	𨱇銶
金艹亼口	𨱏鎝
金艹日大	镆鏌
金艹田	锚錨
金艹冂大	锳鍈
金西示	镖鏢
金甫寸	镈鎛
金西日十	镡鐔
釆田鳥	𬸪鷭
金大丁口	锜錡
金一屮	钝鈍
金口一丂	锷鍔
金由	铀鈾
金甲	钾鉀
金日四又	镘鏝
金日匕匕	锟錕
金田心	锶鍶
金四口衤	镮鐶
金貝刂	铡鍘
金四勹虫	镯鐲
金廴亻土	铤鋌
金千艹二	锤錘
金𠂉木	铢銖
金亻コ矢	𬭤鍭
金臼丨又	锼鎪
金亼口	铪鉿
金爪寸	锊鋝
金釆田	𫔍鐇
金匕匕白	锴鍇
金召儿丶	镵鑱
金𠂊巴	铯銫
金卯田	镏鎦
金烏	钨鎢
金衣口甘	镶鑲
金亠冂口	镐鎬
金亠口子	𬭚錞
金立日心	镱鐿
金方𠂉矢	镞鏃
金亠八乂	铰鉸
金亠十口	镝鏑
金亠子攵	镦鐓
金亠厶儿	铳銃
金亠幺	铉鉉
金鹿火	镳鑣
金广尹用	镛鏞
金八酉寸	𨱔鐏
金䒑八皿	镒鎰
金米夕㐄	𬭸鏻
金半卩	锩錈
金䒑幺幺	镃鎡
爪見	觅覓
金宀豕	镓鎵
金宀𠂇厶	𬭎鋐
金穴人口	镕鎔
金宀匕	铊鉈
金宀女	铵銨
金彐丨	钮鈕
金癶口䒑	镫鐙
金予八口	𫔎鐍
金彐冖又	锓鋟
金阝丁口	锕錒
金乙	钇釔
金巴	钯鈀
金弓口虫	镪鏹
金习人彡	镠鏐
舟鳥	鸼鵃
金巛乂巛	镴鑞
風卜口	飐颭
風田心	飔颸
犭王鳥	𫛭鵟
犭木𠂊貝	獭獺
月牛儿貝	臜臢
犭言犬鳥	𬸚鸑
魚士䒑口	𬶮鱚
魚西示	鳔鰾
魚木四	𬶠鰊
𠂊厂卩頁	𬱟頠
卯田鳥	鹠鶹
氏丶鳥	鸱鴟
魚一屮	鲀魨
魚口一丂	鳄鰐
魚日一止	鳀鯷
魚曲口䒑	鳢鱧
魚𠂉匕	鲊鮓
魚䏑又示	𬶭鰶
魚𠂊厂卩	𬶏鮠
魚召儿	𩾃鮸
匕水頁	颍潁
匕火頁	颎熲
魚亠口小	鲸鯨
魚亠日一	鳣鱣
魚亠八乂	鲛鮫
魚广尹⺍	𩾌鱇
魚禾禾彐	鳒鰜
魚儿⺍	𬶐鮡
魚宀匕	𬶍鮀
魚宀女	𩽾鮟
魚龴用	鲬鯒
勹口鳥	鸲鴝
魚习习白	鳛鰼
烏阝	邬鄔
魚厶大彡	鲹鯵
魚巛田	鲻鯔
魚巛乂巛	𫚭鱲
鳥衣	袅裊
言干	讦訐
言一止	证証
言廿口丰	谨謹
言艹日大	谟謨
言一厶心	𬤝譓
言戊一口	𫍯諴
亠圍一鳥	鹯鸇
言口一丂	谔諤
亠口尤鳥	鹫鷲
亠口甲一	亸嚲
亠口子鳥	鹑鶉
言日一止	𬤊諟
言日勹亡	谒謁
言𠂉匕	诈詐
言牛儿	诜詵
言𠂉乙	讫訖
言禾女	诿諉
言身寸	谢謝
言臼人	谀諛
言亻匕	讹訛
言臼丨又	𫍲謏
文戈止貝	赟贇
亠八乂鳥	䴔鵁
言亼㇕心	谂諗
言八厶	讼訟
言爪𠂇又	谖諼
言𠂊八言	谵譫
言亠口子	谆諄
言亠人十	谇誶
言亠十口	谪謫
言門木四	谰讕
立日工貝	赣贛贑
言立立日	谱譜
立日貝心	戆戇
言户冊	谝諞
言弋八皿	谧謐
言予八口	谲譎
方𠂉矢鳥	𬸦鷟
言习人彡	谬謬
言习习	诩詡
言屮凵	诎詘
疒十廾頁	癫癲
广彐人貝	赓賡
广彐人鳥	鹒鶊
广金欠	𫷷廞
广廿火鳥	鹧鷓
門耂	阇闍
門西土	𬮱闉
門目犬	阒闃
門𠂇厶	闳閎
門口口	闾閭
門十目廾	阗闐
疒貝貝女	瘿癭
門自木	𫔶闑
門方人冫	阏閼
門夂口	阁閣
門氏日	阍閽
門文	闵閔
門丶艮	阆閬
門日习习	阘闒
門土厶皿	阖闔
門䒑屮欠	阙闕
䒑八皿鳥	鹢鷁
禾禾彐鳥	鹣鶼
䒑幺幺鳥	鹚鶿
心中一貝	愦憒
心貝刂	恻惻
氵十艹貝	𣸣濆
氵木𠂊貝	濑瀨
氵止癶頁	濒瀕
氵中一貝	溃潰
氵日小頁	灏灝
氵小丿魚	鲨鯊
⺍人月鳥	鹡鶺
儿⺍頁	𫖯頫
氵言午	浒滸
氵予頁	滪澦
土冖豕	塚塚
宀甘八鳥	𬸣鶱
穴鳥	窎窵
衤門木四	襕襴
衤之車	裢褳
衤冖車	裈褌
冖車皮	皲皸
冖車阝	郓鄆
冖儿鳥	鸩鴆
門木鳥	鹇鷴
馬西示	骠驃
馬雨木目	骦驦
馬不一	𬳵駓
馬厂白小	𫘪騵
馬日一止	𫘨騠
馬日	驲馹
尹口頁	𫖳頵
尸貝	屃屓
馬牛儿	𬳽駪
尸鳥	鸤鳲
尸口辛鳥	䴙鸊鷿
馬亻寸	驸駙
馬亼木	𬳿駼
艮旡魚	𬶨鱀
馬爪幺大	𫘬騱
馬勹午凵	𫘦騊
又又木頁	颡顙
予丿口鳥	鹬鷸
予丿攵鳥	鹜鶩
予丿攵馬	骛騖
馬米夕㐄	𬴊驎
馬癶一大	骙騤
馬㇕大	𫘝駃
馬彐水	𫘧騄
馬又丶虫	骚騷
馬彐冖又	骎駸
阝𠂇月土	堕墮
阝止癶馬	骘騭
阝中一貝	𬯎隤
阝口貝	陨隕
习习彡鳥	鹨鷚
习习冖車	翚翬
糸一业日	缙縉
糸一日乂	绠綆
糸士口頁	缬纈
糸十目廾	缜縝
糸西示	缥縹
糸雨而	𦈡繻
糸大丁口	绮綺
糸一日小	缭繚
糸犬㇕	绂紱
糸𠂇厶	纮紘
糸戈𠂇	绒絨
車糸糸口	辔轡
糸口口木	缲繰
糸之一㠯	缱繾
糸申	绅紳
糸日匕匕	绲緄
糸田心	缌緦
糸四口衤	缳繯
糸目小丿	缈緲
糸四火土	𬙊纆
糸千二火	𫄸纁
女爪𠂇又	媛嫒
糸廴丿止	𫄧綖
女又馬	驽駑
糸𠂉乙	纥紇
糸之丿㠯	缒縋
糸亻コ矢	缑緱
糸乂𠂇巾	𫄨絺
糸八人口	绤綌
糸爪冖又	绶綬
